timestamp,soil_moisture_pct,soil_temperature_c,soil_ec_us_cm,soil_ph
2026-07-05 10:37:23,26.9,24.9,636,4.7
2026-07-05 10:44:36,26.7,24.9,652,5.2
2026-07-05 10:51:11,26.5,24.9,649,5.3
2026-07-05 12:08:04,80.8,24.9,1912,4.9
2026-07-05 18:08:05,84.6,24.9,2909,6.1
2026-07-06 06:10:04,85.9,25.0,3202,6.5
2026-07-06 10:10:05,86.0,24.8,3202,6.2
2026-07-06 14:10:05,85.9,24.3,3147,6.3
2026-07-08 18:10:05,84.8,24.3,2747,5.8
2026-07-09 06:10:05,85.1,25.3,2729,5.3
2026-07-09 10:10:04,84.6,25.0,2639,5.7
2026-07-09 14:10:05,84.6,24.1,2548,6.1
2026-07-09 18:10:05,79.8,24.2,1989,6.8
2026-07-10 06:10:05,72.9,25.4,1906,3.9
2026-07-10 10:10:07,67.5,25.1,1863,5.0
2026-07-10 14:10:05,63.1,23.4,1772,6.5
2026-07-10 18:10:05,62.2,23.4,1726,6.1
